seed,mode,anchor,age,head,pairs,samples,sample_mean_mass,pair_mean_mass,bias_mean
20260716,constant,Pass+CONTROL,age_6_20,mean,571171,38253,0.19167780477488913,0.19162520308260075,-0.09646138548851013
20260716,constant,Pass+CONTROL,age_gt20,0,2157327,37915,0.2416126428171419,0.2415568508813902,-0.06362737715244293
20260716,constant,Pass+CONTROL,age_gt20,1,2157327,37915,0.15577515784924392,0.15562011196517472,-0.24013987183570862
20260716,constant,Pass+CONTROL,age_gt20,2,2157327,37915,0.15906636043744296,0.1588639197080166,0.0315265953540802
20260716,constant,Pass+CONTROL,age_gt20,3,2157327,37915,0.21241802600708085,0.2125145171173947,-0.11360488831996918
20260716,constant,Pass+CONTROL,age_gt20,mean,2157327,37915,0.19221804677772739,0.19213884991799404,-0.09646138548851013
20260716,transition,other,ends_at_anchor,0,58429,58429,0.30267954053070617,0.30267954053070617,-0.24547017200788313
20260716,transition,other,ends_at_anchor,1,58429,58429,0.19994053406403667,0.19994053406403667,-0.8586164702836016
20260716,transition,other,ends_at_anchor,2,58429,58429,0.3083186064013693,0.3083186064013693,-0.09745522696068769
20260716,transition,other,ends_at_anchor,3,58429,58429,0.20157619260642481,0.20157619260642481,0.19945609669075107
20260716,transition,other,ends_at_anchor,mean,58429,58429,0.2531287184006343,0.2531287184006343,-0.2505214431403553
20260716,transition,other,age_1_5,0,291553,58413,0.22148175716879673,0.2214935173918616,-0.20278493402858053
20260716,transition,other,age_1_5,1,291553,58413,0.13165243031528462,0.13157695786911588,-0.8239524101841363
20260716,transition,other,age_1_5,2,291553,58413,0.20716589174250036,0.20730231290019324,-0.20929659931838557
20260716,transition,other,age_1_5,3,291553,58413,0.22039992157658483,0.22041103635803672,0.21693542655147943
20260716,transition,other,age_1_5,mean,291553,58413,0.19517500020079162,0.19519595612980184,-0.25477462924490574
20260716,transition,other,age_6_20,0,869369,58239,0.2067298351419298,0.20671440803809335,-0.19592347982401512
20260716,transition,other,age_6_20,1,869369,58239,0.099217561596387,0.09908011361199616,-0.8140570720880694
20260716,transition,other,age_6_20,2,869369,58239,0.21010355141797665,0.2101236556643022,-0.2297637935228608
20260716,transition,other,age_6_20,3,869369,58239,0.2476693626914185,0.24766969760006438,0.2209763376318202
20260716,transition,other,age_6_20,mean,869369,58239,0.190930077711928,0.19089696872861403,-0.25469200195078134
20260716,transition,other,age_gt20,0,3292092,57722,0.20957750541883172,0.20954245772857136,-0.19696141331203226
20260716,transition,other,age_gt20,1,3292092,57722,0.09218406640134748,0.09204865098195067,-0.8145329525711908
20260716,transition,other,age_gt20,2,3292092,57722,0.20026945393184906,0.20014619689408428,-0.2350018899750948
20260716,transition,other,age_gt20,3,3292092,57722,0.2746250752618858,0.27466650677614546,0.22179533370442364
20260716,transition,other,age_gt20,mean,3292092,57722,0.19416402525347853,0.19410095309518793,-0.2561752305384736
20260716,transition,Pass+CONTROL,ends_at_anchor,0,38348,38348,0.1806576175449949,0.1806576175449949,-0.11278910630843936
20260716,transition,Pass+CONTROL,ends_at_anchor,1,38348,38348,0.24278576578651648,0.24278576578651648,-0.7469105438115659
20260716,transition,Pass+CONTROL,ends_at_anchor,2,38348,38348,0.0279648368292799,0.0279648368292799,-0.4551730900547095
20260716,transition,Pass+CONTROL,ends_at_anchor,3,38348,38348,0.24920934768844516,0.24920934768844516,0.2623329524605956
20260716,transition,Pass+CONTROL,ends_at_anchor,mean,38348,38348,0.17515439196230911,0.17515439196230911,-0.2631349469285298
20260716,transition,Pass+CONTROL,age_1_5,0,191477,38364,0.22380117351652246,0.22385334191754033,-0.1776501046445069
20260716,transition,Pass+CONTROL,age_1_5,1,191477,38364,0.19782099856472435,0.1977422310091917,-0.7993723335004995
20260716,transition,Pass+CONTROL,age_1_5,2,191477,38364,0.17545464784094575,0.17553150189875477,-0.2848285995170592
20260716,transition,Pass+CONTROL,age_1_5,3,191477,38364,0.22400154303228523,0.2239857044987782,0.23572621410412645
20260716,transition,Pass+CONTROL,age_1_5,mean,191477,38364,0.20526959073861945,0.20527819483106624,-0.25653120588948475
20260716,transition,Pass+CONTROL,age_6_20,0,571171,38253,0.21324402340126444,0.21318934550028668,-0.18787809354797821
20260716,transition,Pass+CONTROL,age_6_20,1,571171,38253,0.11618611849693307,0.11600468115077935,-0.8149644055017324
20260716,transition,Pass+CONTROL,age_6_20,2,571171,38253,0.19668452985334525,0.19672973657223633,-0.2551333403682116
20260716,transition,Pass+CONTROL,age_6_20,3,571171,38253,0.25297978784159003,0.25303553683334384,0.23006147493246343
20260716,transition,Pass+CONTROL,age_6_20,mean,571171,38253,0.1947736148982832,0.19473982501416154,-0.25697859112136473
20260716,transition,Pass+CONTROL,age_gt20,0,2157327,37915,0.21561616802841818,0.21552715417422766,-0.19187058572631607
20260716,transition,Pass+CONTROL,age_gt20,1,2157327,37915,0.09940242010035027,0.09924536754096912,-0.8152247480908599
20260716,transition,Pass+CONTROL,age_gt20,2,2157327,37915,0.18885469633121466,0.18874819710130392,-0.25025149666748553
20260716,transition,Pass+CONTROL,age_gt20,3,2157327,37915,0.2807637304282127,0.28083033293253523,0.22826021611161704
20260716,transition,Pass+CONTROL,age_gt20,mean,2157327,37915,0.19615925372204895,0.196087762937259,-0.25727165359326115
20260717,base,other,ends_at_anchor,0,58429,58429,0.25707319582554655,0.25707319582554655,0.0
20260717,base,other,ends_at_anchor,1,58429,58429,0.19855854222841451,0.19855854222841451,0.0
20260717,base,other,ends_at_anchor,2,58429,58429,0.23756051443865903,0.23756051443865903,0.0
20260717,base,other,ends_at_anchor,3,58429,58429,0.2966218631380199,0.2966218631380199,0.0
20260717,base,other,ends_at_anchor,mean,58429,58429,0.24745352890765998,0.24745352890765998,0.0
20260717,base,other,age_1_5,0,291553,58413,0.16617627681100217,0.1661657012457913,0.0
20260717,base,other,age_1_5,1,291553,58413,0.18959618099337405,0.18966231122809893,0.0
20260717,base,other,age_1_5,2,291553,58413,0.1844397127171002,0.18439175551084477,0.0
20260717,base,other,age_1_5,3,291553,58413,0.2071878161601217,0.20713433883312807,0.0
20260717,base,other,age_1_5,mean,291553,58413,0.18684999667039953,0.18683852670446577,0.0
20260717,base,other,age_6_20,0,869369,58239,0.15790743956612954,0.15780757683538488,0.0
20260717,base,other,age_6_20,1,869369,58239,0.21029603451775636,0.21038493364843575,0.0
20260717,base,other,age_6_20,2,869369,58239,0.15458715705637022,0.15449711053982337,0.0
20260717,base,other,age_6_20,3,869369,58239,0.1538473172370865,0.15376609252551798,0.0
20260717,base,other,age_6_20,mean,869369,58239,0.16915948709433565,0.1691139283872905,0.0
20260717,base,other,age_gt20,0,3292092,57722,0.11886514938013842,0.11860249247598786,0.0
20260717,base,other,age_gt20,1,3292092,57722,0.21044102321316052,0.21042898218643916,0.0
20260717,base,other,age_gt20,2,3292092,57722,0.14542340603010984,0.14516902195293285,0.0
20260717,base,other,age_gt20,3,3292092,57722,0.12771543244745562,0.1276744593917139,0.0
20260717,base,other,age_gt20,mean,3292092,57722,0.15061125276771611,0.15046873900176844,0.0
20260717,base,Pass+CONTROL,ends_at_anchor,0,38348,38348,0.005372862815795454,0.005372862815795454,0.0
20260717,base,Pass+CONTROL,ends_at_anchor,1,38348,38348,0.12936513097958602,0.12936513097958602,0.0
20260717,base,Pass+CONTROL,ends_at_anchor,2,38348,38348,0.07703193860803557,0.07703193860803557,0.0
