configuration,seed,task,layer,relation,message_norm
pg_task,20260715,position,layer1,event__gap_60plus__event,0.0
pg_task,20260715,position,layer1,event__period_break__event,0.0
pg_task,20260715,position,layer1,player__performs__event,0.09230563789606094
pg_task,20260715,position,layer1,event__performed_by__player,0.08351800590753555
pg_task,20260715,position,layer1,team__performs__event,0.06514345109462738
pg_task,20260715,position,layer1,event__performed_by_team__team,0.07932275533676147
pg_task,20260715,position,layer1,event__has_type__event_type,0.09674447029829025
pg_task,20260715,position,layer1,event_type__describes__event,0.11138872802257538
pg_task,20260715,position,layer1,event__has_tag__tag,0.09280329942703247
pg_task,20260715,position,layer1,tag__describes__event,0.12712568044662476
pg_task,20260715,position,layer1,event__starts_in__zone,0.1126859188079834
pg_task,20260715,position,layer1,zone__start_of__event,0.12447431683540344
pg_task,20260715,position,layer1,event__ends_in__zone,0.10989486426115036
pg_task,20260715,position,layer1,zone__end_of__event,0.13584579527378082
pg_task,20260715,position,layer1,event__belongs_to__possession,0.06938963383436203
pg_task,20260715,position,layer1,possession__contains__event,0.1207091435790062
pg_task,20260715,position,layer1,possession__owned_by__team,0.0
pg_task,20260715,position,layer1,team__has_possession__possession,0.0
pg_task,20260715,position,layer1,possession__next__possession,0.0
pg_task,20260715,position,layer2,event__next__event,9.389327049255371
pg_task,20260715,position,layer2,event__gap_0_2s__event,5.279478073120117
pg_task,20260715,position,layer2,event__gap_2_5s__event,5.915783882141113
pg_task,20260715,position,layer2,event__gap_5_15s__event,3.377950668334961
pg_task,20260715,position,layer2,event__gap_15_60s__event,1.7839672565460205
pg_task,20260715,position,layer2,event__gap_60plus__event,0.0
pg_task,20260715,position,layer2,event__period_break__event,0.0
pg_task,20260715,position,layer2,player__performs__event,14.8365478515625
pg_task,20260715,position,layer2,event__performed_by__player,24.45614242553711
pg_task,20260715,position,layer2,team__performs__event,28.056196212768555
